,text
0,finally
1,offo ye exams yaar kab khatam honge bored af wednesdaythoughts stress engg
2,love
3,negative amplifiers are such mess engglife stressed exams
4,sweet end for new beginning
5,ohho pooja chaa gayi
6,so stressed coz of mocks kyu jeene nahi dete yaar dts mocks tut tests sab rakhna hai inko dimaag kharab ho
7,trying to cope up wid all the syllabus for mocks help me god wid this one examstress mockpracs
8,some thoughts have to be expressed and think ll really miss my place googleplus to do so
9,okay na
10,kya kahu aaj ka din tha toh accha lekin thode pareshaniyon se bhara shuru hua bunk se pehli baar life mein aise
11,same here yaar
12,ssly yaar
13,hope if would have done dat
14,sure on dis
15,sometimes it is needed for us to go through hard times to know better who the real friend is maybe we in misun
16,jaa mat bata
17,ye kon hai negative and positive ppl re
18,do not be selfish but remember do not be selfless always be there for someone but put yourself also in front
19,sometimes have to urself sort the chaos of the thoughts in ur mind sometimes things seem wrong but they right
